iter	Passed	Remaining
0	3	363
1	7	364
2	10	348
3	13	314
4	16	310
5	19	304
6	22	299
7	26	305
8	29	300
9	32	294
10	35	289
11	39	287
12	42	283
13	45	278
14	48	276
15	51	270
16	54	265
17	57	262
18	60	258
19	63	254
20	67	252
21	70	248
22	73	244
23	76	242
24	80	240
25	82	235
26	87	235
27	90	231
28	93	227
29	96	224
30	100	222
31	103	219
32	106	216
33	109	212
34	112	208
35	115	205
36	118	201
37	121	198
38	124	195
39	128	192
40	130	188
41	132	182
42	136	180
43	139	177
44	142	173
45	146	171
46	148	167
47	152	164
48	155	161
49	157	157
50	161	154
51	164	151
52	167	148
53	170	145
54	172	141
55	175	137
56	178	134
57	181	131
58	184	128
59	188	125
60	191	122
61	194	119
62	197	115
63	201	113
64	204	110
65	207	107
66	210	103
67	214	100
68	217	97
69	220	94
70	223	91
71	226	88
72	229	84
73	232	81
74	235	78
75	238	75
76	241	72
77	245	69
78	248	65
79	251	62
80	254	59
81	257	56
82	260	53
83	264	50
84	267	47
85	270	43
86	274	40
87	277	37
88	280	34
89	284	31
90	286	28
91	289	25
92	292	22
93	295	18
94	298	15
95	302	12
96	305	9
97	308	6
98	311	3
99	314	0
